idx,topic,sentiment
222,product_quality,positive
223,product_quality,neutral
224,delivery_shipping,positive
225,delivery_shipping,negative
226,product_quality,positive
227,product_quality,positive
228,product_quality,neutral
229,product_quality,positive
230,delivery_shipping,negative
231,other,neutral
232,delivery_shipping,negative
233,delivery_shipping,positive
234,product_quality,positive
235,delivery_shipping,negative
236,product_quality,positive
237,delivery_shipping,positive
238,delivery_shipping,negative
239,delivery_shipping,neutral
240,product_quality,positive
241,customer_service,negative
242,delivery_shipping,positive
243,product_quality,positive
244,delivery_shipping,negative
245,product_quality,positive
246,product_quality,positive
247,other,positive
248,other,neutral
249,product_quality,negative
250,other,positive
251,delivery_shipping,positive
252,product_quality,negative
253,product_quality,negative
254,product_quality,positive
255,customer_service,negative
256,product_quality,negative
257,other,positive
258,delivery_shipping,negative
259,delivery_shipping,positive
260,product_quality,positive
261,delivery_shipping,positive
262,delivery_shipping,negative
263,other,positive
264,delivery_shipping,positive
265,delivery_shipping,positive
266,other,positive
267,other,positive
268,product_quality,positive
269,delivery_shipping,positive
270,customer_service,positive
271,other,positive
272,product_quality,positive
273,delivery_shipping,negative
274,other,positive
275,product_quality,negative
276,product_quality,positive
277,delivery_shipping,negative
278,delivery_shipping,positive
279,product_quality,negative
280,product_quality,negative
281,product_quality,negative
282,price_value,positive
283,other,positive
284,product_quality,positive
285,delivery_shipping,positive
286,other,positive
287,product_quality,positive
288,delivery_shipping,positive
289,delivery_shipping,positive
290,product_quality,neutral
291,product_quality,positive
292,product_quality,negative
293,delivery_shipping,negative
294,product_quality,negative
295,product_quality,negative
296,delivery_shipping,positive
297,other,positive
298,delivery_shipping,positive
299,delivery_shipping,negative
300,product_quality,negative
301,product_quality,positive
302,other,positive
303,delivery_shipping,negative
304,product_quality,negative
305,delivery_shipping,negative
306,delivery_shipping,negative
307,product_quality,neutral
308,product_quality,positive
309,customer_service,positive
310,delivery_shipping,positive
311,product_quality,positive
312,delivery_shipping,positive
313,product_quality,negative
314,product_quality,positive
315,product_quality,negative
316,product_quality,positive
317,other,positive
318,delivery_shipping,negative
319,customer_service,positive
320,delivery_shipping,positive
321,product_quality,positive
322,delivery_shipping,positive
323,delivery_shipping,positive
324,product_quality,negative
325,delivery_shipping,positive
326,delivery_shipping,positive
327,product_quality,positive
328,delivery_shipping,positive
329,product_quality,negative
330,delivery_shipping,negative
331,product_quality,positive
332,product_quality,negative
333,other,neutral
334,other,positive
335,product_quality,positive
336,other,neutral
337,product_quality,negative
338,product_quality,positive
339,product_quality,positive
340,product_quality,positive
341,delivery_shipping,negative
342,product_quality,positive
343,delivery_shipping,neutral
344,delivery_shipping,negative
345,delivery_shipping,positive
346,delivery_shipping,positive
347,delivery_shipping,positive
348,product_quality,negative
349,product_quality,negative
350,product_quality,positive
351,other,positive
352,customer_service,neutral
353,other,positive
354,product_quality,positive
355,other,positive
356,delivery_shipping,positive
357,other,positive
358,product_quality,positive
359,product_quality,positive
360,product_quality,negative
361,product_quality,positive
362,product_quality,neutral
363,delivery_shipping,positive
364,other,positive
365,other,positive
366,customer_service,positive
367,product_quality,negative
368,product_quality,neutral
369,product_quality,positive
370,product_quality,negative
371,delivery_shipping,negative
372,other,positive
373,other,positive
374,product_quality,negative
375,other,positive
376,product_quality,positive
377,product_quality,positive
378,other,positive
379,delivery_shipping,positive
380,product_quality,positive
381,delivery_shipping,positive
382,other,positive
383,product_quality,positive
384,product_quality,negative
385,other,positive
386,product_quality,neutral
387,delivery_shipping,negative
388,delivery_shipping,negative
389,product_quality,positive
390,delivery_shipping,positive
391,delivery_shipping,negative
392,delivery_shipping,negative
393,product_quality,negative
394,delivery_shipping,negative
395,product_quality,negative
396,other,positive
397,delivery_shipping,negative
398,other,positive
399,other,positive
400,customer_service,positive
401,other,positive
402,delivery_shipping,negative
403,product_quality,neutral
404,product_quality,negative
405,product_quality,positive
406,delivery_shipping,positive
407,product_quality,negative
408,product_quality,positive
409,other,positive
410,delivery_shipping,positive
411,delivery_shipping,positive
412,product_quality,negative
413,delivery_shipping,positive
414,delivery_shipping,positive
415,delivery_shipping,negative
416,product_quality,negative
417,customer_service,positive
418,delivery_shipping,positive
419,delivery_shipping,positive
420,other,positive
421,delivery_shipping,positive
422,delivery_shipping,negative
423,delivery_shipping,positive
424,customer_service,positive
425,product_quality,negative
426,product_quality,positive
427,other,positive
428,delivery_shipping,negative
429,delivery_shipping,positive
430,product_quality,negative
431,customer_service,positive
432,delivery_shipping,positive
433,product_quality,negative
434,product_quality,positive
435,delivery_shipping,negative
436,product_quality,negative
437,delivery_shipping,positive
438,product_quality,positive
439,customer_service,positive
440,product_quality,neutral
441,product_quality,negative
442,product_quality,negative
443,product_quality,negative
444,delivery_shipping,negative
445,delivery_shipping,negative
446,product_quality,positive
447,other,positive
448,product_quality,positive
449,customer_service,positive
450,delivery_shipping,positive
451,product_quality,neutral
452,delivery_shipping,positive
453,delivery_shipping,positive
454,customer_service,positive
455,product_quality,positive
456,product_quality,negative
457,delivery_shipping,negative
458,delivery_shipping,positive
459,product_quality,negative
460,product_quality,negative
461,other,positive
462,product_quality,negative
463,product_quality,positive
464,customer_service,negative
465,product_quality,negative
466,other,positive
467,other,positive
468,product_quality,negative
469,other,positive
470,delivery_shipping,positive
471,delivery_shipping,positive
472,product_quality,positive
473,product_quality,positive
474,product_quality,neutral
475,other,negative
476,product_quality,negative
477,delivery_shipping,negative
478,delivery_shipping,positive
479,other,positive
480,product_quality,negative
481,delivery_shipping,positive
482,other,positive
483,product_quality,negative
484,product_quality,negative
485,delivery_shipping,negative
486,delivery_shipping,positive
487,delivery_shipping,negative
488,delivery_shipping,neutral
489,product_quality,negative
490,delivery_shipping,positive
491,delivery_shipping,positive
492,product_quality,negative
493,other,positive
494,product_quality,negative
495,product_quality,negative
496,delivery_shipping,positive
497,customer_service,positive
498,product_quality,positive
499,product_quality,negative
500,delivery_shipping,negative
501,delivery_shipping,positive
502,delivery_shipping,negative
503,delivery_shipping,negative
504,other,positive
505,customer_service,positive
506,product_quality,positive
507,product_quality,negative
508,delivery_shipping,positive
509,product_quality,positive
510,delivery_shipping,positive
511,product_quality,negative
512,product_quality,positive
513,other,positive
514,product_quality,negative
515,other,positive
516,delivery_shipping,negative
517,delivery_shipping,positive
518,delivery_shipping,positive
519,delivery_shipping,positive
520,product_quality,positive
521,delivery_shipping,positive
522,price_value,positive
523,product_quality,negative
524,customer_service,negative
525,delivery_shipping,positive
526,delivery_shipping,negative
527,product_quality,negative
528,product_quality,negative
529,product_quality,positive
530,product_quality,negative
531,product_quality,negative
532,product_quality,positive
533,product_quality,negative
534,product_quality,negative
535,delivery_shipping,positive
536,other,positive
537,product_quality,negative
538,delivery_shipping,positive
539,product_quality,positive
540,product_quality,positive
541,product_quality,negative
542,delivery_shipping,positive
543,other,positive
544,other,positive
545,delivery_shipping,negative
546,product_quality,neutral
547,delivery_shipping,positive
548,product_quality,negative
549,product_quality,positive
550,price_value,neutral
551,delivery_shipping,negative
552,product_quality,positive
553,delivery_shipping,positive
554,price_value,neutral
555,product_quality,positive
556,delivery_shipping,positive
557,delivery_shipping,positive
558,delivery_shipping,negative
559,delivery_shipping,positive
560,product_quality,positive
561,product_quality,positive
562,product_quality,negative
563,other,positive
564,product_quality,negative
565,other,neutral
566,other,positive
567,delivery_shipping,negative
568,product_quality,neutral
569,delivery_shipping,positive
570,customer_service,neutral
571,other,positive
572,product_quality,positive
573,product_quality,positive
574,product_quality,negative
575,price_value,positive
576,delivery_shipping,negative
577,delivery_shipping,neutral
578,delivery_shipping,negative
579,product_quality,positive
580,product_quality,negative
581,other,positive
582,product_quality,negative
583,price_value,positive
584,other,positive
585,product_quality,positive
586,other,positive
587,product_quality,positive
588,customer_service,positive
589,delivery_shipping,positive
590,product_quality,positive
591,delivery_shipping,negative
592,other,positive
593,delivery_shipping,positive
594,product_quality,positive
595,delivery_shipping,positive
596,delivery_shipping,positive
597,product_quality,negative
598,product_quality,negative
599,delivery_shipping,positive
600,other,neutral
601,price_value,negative
602,product_quality,negative
603,customer_service,neutral
604,delivery_shipping,negative
605,product_quality,negative
606,product_quality,positive
607,delivery_shipping,positive
608,delivery_shipping,negative
609,product_quality,negative
610,product_quality,negative
611,price_value,negative
612,product_quality,positive
613,product_quality,positive
614,other,positive
615,price_value,positive
616,delivery_shipping,positive
617,delivery_shipping,negative
618,product_quality,negative
619,product_quality,positive
620,delivery_shipping,positive
621,product_quality,positive
622,product_quality,neutral
623,customer_service,negative
624,delivery_shipping,positive
625,delivery_shipping,positive
626,delivery_shipping,positive
627,product_quality,negative
628,product_quality,negative
629,delivery_shipping,negative
630,product_quality,positive
631,delivery_shipping,negative
632,product_quality,positive
633,product_quality,negative
634,product_quality,positive
635,product_quality,neutral
636,product_quality,negative
637,other,positive
638,delivery_shipping,negative
639,delivery_shipping,negative
640,delivery_shipping,positive
641,product_quality,negative
642,delivery_shipping,negative
643,other,positive
644,delivery_shipping,positive
645,other,neutral
646,delivery_shipping,negative
647,delivery_shipping,positive
648,product_quality,positive
649,product_quality,positive
650,product_quality,positive
651,delivery_shipping,negative
652,product_quality,positive
653,other,positive
654,delivery_shipping,positive
655,delivery_shipping,negative
656,delivery_shipping,positive
657,delivery_shipping,positive
658,product_quality,neutral
659,customer_service,positive
660,other,positive
661,delivery_shipping,positive
662,product_quality,negative
663,other,positive
664,product_quality,positive
665,delivery_shipping,neutral
666,delivery_shipping,positive
667,other,neutral
668,product_quality,positive
669,delivery_shipping,positive
670,product_quality,negative
671,other,negative
672,product_quality,positive
673,delivery_shipping,negative
674,product_quality,negative
675,delivery_shipping,positive
676,delivery_shipping,negative
677,product_quality,positive
678,product_quality,positive
679,product_quality,positive
680,product_quality,neutral
681,price_value,negative
682,product_quality,negative
683,other,positive
684,delivery_shipping,positive
685,product_quality,negative
686,other,positive
687,product_quality,positive
688,other,positive
689,delivery_shipping,positive
690,product_quality,negative
691,other,positive
692,product_quality,positive
693,product_quality,positive
694,customer_service,negative
695,delivery_shipping,neutral
696,product_quality,positive
697,delivery_shipping,negative
698,product_quality,negative
699,delivery_shipping,negative
700,customer_service,negative
701,product_quality,neutral
702,other,positive
703,delivery_shipping,negative
704,customer_service,negative
705,other,neutral
706,product_quality,negative
707,product_quality,negative
708,product_quality,positive
709,price_value,positive
710,product_quality,positive
711,product_quality,positive
712,product_quality,negative
713,other,neutral
714,delivery_shipping,positive
715,product_quality,negative
716,other,positive
717,other,positive
718,product_quality,negative
719,delivery_shipping,positive
720,delivery_shipping,positive
721,product_quality,negative
722,product_quality,positive
723,delivery_shipping,positive
724,other,positive
725,other,positive
726,product_quality,positive
727,product_quality,negative
728,product_quality,positive
729,delivery_shipping,positive
730,other,negative
731,delivery_shipping,positive
732,product_quality,positive
733,customer_service,negative
734,product_quality,negative
735,customer_service,negative
736,delivery_shipping,positive
737,other,positive
738,product_quality,neutral
739,product_quality,positive
740,product_quality,negative
741,delivery_shipping,negative
742,product_quality,negative
743,other,positive
744,delivery_shipping,positive
745,other,positive
746,other,positive
747,delivery_shipping,positive
748,other,neutral
749,price_value,negative
750,customer_service,negative
751,delivery_shipping,negative
752,product_quality,negative
753,other,positive
754,product_quality,positive
755,delivery_shipping,positive
756,product_quality,negative
757,product_quality,negative
758,other,positive
759,product_quality,positive
760,customer_service,positive
761,customer_service,negative
762,other,positive
763,delivery_shipping,positive
764,other,positive
765,delivery_shipping,positive
766,customer_service,neutral
767,delivery_shipping,negative
768,delivery_shipping,positive
769,customer_service,positive
770,delivery_shipping,positive
771,product_quality,negative
772,product_quality,positive
773,product_quality,negative
774,product_quality,positive
775,other,positive
776,delivery_shipping,positive
777,product_quality,neutral
778,other,positive
779,customer_service,negative
780,delivery_shipping,positive
781,product_quality,negative
782,product_quality,negative
783,product_quality,positive
784,product_quality,positive
785,delivery_shipping,negative
786,product_quality,positive
787,other,positive
788,product_quality,neutral
789,product_quality,positive
790,customer_service,positive
791,product_quality,positive
792,delivery_shipping,neutral
793,other,positive
794,other,negative
795,product_quality,positive
796,product_quality,positive
797,delivery_shipping,positive
798,price_value,neutral
799,customer_service,negative
800,delivery_shipping,positive
801,delivery_shipping,positive
802,product_quality,positive
803,product_quality,positive
804,delivery_shipping,positive
805,product_quality,negative
806,other,positive
807,product_quality,positive
808,delivery_shipping,positive
809,delivery_shipping,negative
810,delivery_shipping,positive
811,product_quality,positive
812,product_quality,positive
813,product_quality,positive
814,other,positive
815,other,neutral
816,delivery_shipping,negative
817,delivery_shipping,positive
818,product_quality,neutral
819,other,positive
820,delivery_shipping,negative
821,other,positive
822,customer_service,positive
823,delivery_shipping,negative
824,other,negative
825,other,neutral
826,product_quality,negative
827,delivery_shipping,positive
828,price_value,positive
829,product_quality,negative
830,other,positive
831,customer_service,positive
832,other,positive
833,product_quality,negative
834,delivery_shipping,positive
835,customer_service,positive
836,other,positive
837,customer_service,positive
838,product_quality,positive
839,product_quality,negative
840,delivery_shipping,negative
841,product_quality,positive
842,delivery_shipping,positive
843,product_quality,positive
844,product_quality,positive
845,product_quality,positive
846,delivery_shipping,negative
847,other,positive
848,product_quality,negative
849,delivery_shipping,negative
850,product_quality,positive
851,delivery_shipping,negative
852,delivery_shipping,positive
853,price_value,negative
854,product_quality,positive
855,delivery_shipping,negative
856,delivery_shipping,positive
857,other,positive
858,delivery_shipping,negative
859,other,positive
860,product_quality,negative
861,product_quality,neutral
862,delivery_shipping,negative
863,delivery_shipping,positive
864,product_quality,negative
865,delivery_shipping,positive
866,product_quality,negative
867,other,positive
868,price_value,positive
869,other,positive
870,product_quality,positive
871,delivery_shipping,negative
872,delivery_shipping,negative
873,delivery_shipping,negative
874,product_quality,negative
875,other,positive
876,customer_service,negative
877,delivery_shipping,positive
878,product_quality,neutral
879,delivery_shipping,positive
880,product_quality,negative
881,product_quality,positive
882,other,positive
883,product_quality,negative
884,price_value,negative
885,delivery_shipping,positive
886,product_quality,neutral
887,delivery_shipping,positive
888,other,positive
889,product_quality,negative
890,delivery_shipping,positive
891,product_quality,positive
892,delivery_shipping,negative
893,other,positive
894,other,positive
895,product_quality,positive
896,delivery_shipping,negative
897,delivery_shipping,negative
898,customer_service,negative
899,other,neutral
900,product_quality,positive
901,product_quality,positive
902,delivery_shipping,positive
903,other,negative
904,other,positive
905,product_quality,positive
906,product_quality,neutral
907,product_quality,positive
908,other,positive
909,delivery_shipping,positive
910,delivery_shipping,negative
911,product_quality,negative
912,product_quality,positive
913,delivery_shipping,negative
914,delivery_shipping,positive
915,product_quality,positive
916,other,positive
917,product_quality,neutral
918,other,neutral
919,product_quality,positive
920,product_quality,negative
921,price_value,positive
922,delivery_shipping,positive
923,product_quality,negative
924,customer_service,neutral
925,delivery_shipping,negative
926,other,positive
927,customer_service,positive
928,product_quality,positive
929,product_quality,neutral
930,delivery_shipping,negative
931,other,positive
932,product_quality,positive
933,delivery_shipping,positive
934,delivery_shipping,positive
935,delivery_shipping,negative
936,other,positive
937,product_quality,positive
938,other,positive
939,other,positive
940,delivery_shipping,negative
941,product_quality,negative
942,other,positive
943,product_quality,positive
944,product_quality,positive
945,delivery_shipping,positive
946,other,positive
947,product_quality,negative
948,delivery_shipping,positive
949,product_quality,positive
950,product_quality,positive
951,product_quality,negative
952,product_quality,negative
953,product_quality,negative
954,delivery_shipping,negative
955,product_quality,positive
956,product_quality,negative
957,product_quality,positive
958,delivery_shipping,positive
959,product_quality,positive
960,product_quality,positive
961,product_quality,negative
962,product_quality,neutral
963,product_quality,positive
964,other,positive
965,product_quality,negative
966,product_quality,positive
967,product_quality,positive
968,product_quality,negative
969,delivery_shipping,positive
970,product_quality,negative
971,product_quality,neutral
972,product_quality,positive
973,other,positive
974,delivery_shipping,negative
975,product_quality,positive
976,other,positive
977,delivery_shipping,positive
978,product_quality,negative
979,product_quality,positive
980,other,positive
981,delivery_shipping,positive
982,product_quality,positive
983,price_value,neutral
984,delivery_shipping,negative
985,other,neutral
986,product_quality,neutral
987,product_quality,negative
988,other,positive
989,other,positive
990,other,positive
991,delivery_shipping,negative
992,product_quality,positive
993,customer_service,negative
994,product_quality,positive
995,product_quality,negative
996,delivery_shipping,positive
997,delivery_shipping,positive
998,other,positive
999,delivery_shipping,neutral
